"행정구역별(시군구)","연령별",2017,2017,2017,2018,2018,2018,2019,2019,2019
"행정구역별(시군구)","연령별",1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자
"서울특별시","65~69",61577,22070,39507,63468,22888,40580,67696,25180,42516
"서울특별시","70~74",52768,14973,37795,56393,16656,39737,61035,18463,42572
"서울특별시","75~79",47620,11185,36435,49529,11828,37701,51747,12486,39261
"서울특별시","80~84",29344,5553,23791,31917,6298,25619,35227,7167,28060
"서울특별시","85세 이상",17931,3156,14775,19681,3540,16141,22383,4143,18240
"부산광역시","합계",388899,176932,211967,404408,183579,220829,423227,191796,231431
"부산광역시","20세 미만",4491,1976,2515,4460,2026,2434,4781,2272,2509
"부산광역시","20~24",28923,12569,16354,30068,12843,17225,32388,13845,18543
"부산광역시","25~29",34377,19381,14996,37510,20754,16756,41339,22413,18926
"부산광역시","30~34",27527,16842,10685,27764,16849,10915,29525,17794,11731
"부산광역시","35~39",25570,15613,9957,26476,16236,10240,26674,16279,10395
"부산광역시","40~44",23265,13962,9303,22776,13858,8918,22725,13804,8921
"부산광역시","45~49",28325,16950,11375,28513,16972,11541,28559,16921,11638
"부산광역시","50~54",28755,16451,12304,29232,16797,12435,30209,17447,12762
"부산광역시","55~59",38919,18885,20034,38461,18893,19568,37779,18909,18870
"부산광역시","60~64",39356,16180,23176,42559,17880,24679,44513,18714,25799
"부산광역시","65~69",32906,11258,21648,34236,11884,22352,36399,13056,23343
"부산광역시","70~74",27062,7279,19783,29071,8054,21017,31214,8830,22384
"부산광역시","75~79",25621,5436,20185,27162,5807,21355,27926,6147,21779
"부산광역시","80~84",15625,2776,12849,17139,3135,14004,18886,3493,15393
"부산광역시","85세 이상",8177,1374,6803,8981,1591,7390,10310,1872,8438
"대구광역시","합계",259525,119917,139608,269903,124823,145080,284416,131500,152916
"대구광역시","20세 미만",2879,1216,1663,2682,1183,1499,3693,1651,2042
"대구광역시","20~24",17609,7733,9876,18057,7815,10242,20916,9273,11643
"대구광역시","25~29",22684,13272,9412,25076,14470,10606,27730,15620,12110
"대구광역시","30~34",19984,12711,7273,20153,13000,7153,21138,13678,7460
"대구광역시","35~39",18494,11488,7006,19056,11962,7094,19196,12020,7176
"대구광역시","40~44",18292,11255,7037,17640,10895,6745,17148,10527,6621
"대구광역시","45~49",21696,12992,8704,21914,13016,8898,21858,13102,8756
"대구광역시","50~54",21695,12208,9487,22346,12703,9643,22983,13068,9915
"대구광역시","55~59",25820,11943,13877,26664,12517,14147,26846,12839,14007
"대구광역시","60~64",23347,9233,14114,24956,10091,14865,26831,10986,15845
"대구광역시","65~69",19450,6218,13232,20505,6594,13911,21470,7180,14290
"대구광역시","70~74",15359,3784,11575,16350,4187,12163,17663,4673,12990
"대구광역시","75~79",16103,3166,12937,16783,3398,13385,17164,3468,13696
"대구광역시","80~84",10426,1780,8646,11416,1963,9453,12559,2200,10359
"대구광역시","85세 이상",5687,918,4769,6305,1029,5276,7221,1215,6006
"인천광역시","합계",266434,140100,126334,275898,143845,132053,297865,155137,142728
"인천광역시","20세 미만",2218,1050,1168,1278,506,772,1803,851,952
"인천광역시","20~24",13538,6858,6680,11469,5014,6455,15019,6734,8285
"인천광역시","25~29",22511,13820,8691,24628,14736,9892,29114,17113,12001
"인천광역시","30~34",23393,15606,7787,23530,15647,7883,25370,16841,8529
"인천광역시","35~39",23672,15737,7935,24507,16335,8172,24992,16628,8364
"인천광역시","40~44",22493,14915,7578,22006,14566,7440,22235,14688,7547
"인천광역시","45~49",25235,16223,9012,26049,16696,9353,26476,17027,9449
"인천광역시","50~54",23971,14647,9324,24729,15221,9508,26102,16067,10035
"인천광역시","55~59",27963,14744,13219,28902,15444,13458,29383,15909,13474
"인천광역시","60~64",22616,10329,12287,25769,11894,13875,28723,13349,15374
"인천광역시","65~69",16810,6410,10400,17877,6885,10992,19645,7759,11886
"인천광역시","70~74",14210,4179,10031,15267,4715,10552,16738,5326,11412
"인천광역시","75~79",13401,2993,10408,14121,3252,10869,14735,3496,11239
"인천광역시","80~84",8949,1677,7272,9675,1896,7779,10645,2126,8519
"인천광역시","85세 이상",5454,912,4542,6091,1038,5053,6885,1223,5662
"광주광역시","합계",171424,86237,85187,174614,87655,86959,182364,91221,91143
"광주광역시","20세 미만",2316,1077,1239,2178,982,1196,2512,1110,1402
"광주광역시","20~24",15202,6599,8603,15472,6632,8840,16440,7204,9236
"광주광역시","25~29",17883,10203,7680,18635,10670,7965,20768,11762,9006
"광주광역시","30~34",17076,10795,6281,16129,10245,5884,16414,10458,5956
"광주광역시","35~39",15204,9944,5260,15378,10147,5231,15563,10228,5335
"광주광역시","40~44",13709,9156,4553,13130,8700,4430,13061,8568,4493
"광주광역시","45~49",14641,9282,5359,14590,9393,5197,14674,9376,5298
"광주광역시","50~54",13428,7722,5706,13805,8027,5778,14432,8431,6001
"광주광역시","55~59",14992,7354,7638,15387,7586,7801,15298,7572,7726
"광주광역시","60~64",11968,5196,6772,13128,5799,7329,14295,6292,8003
"광주광역시","65~69",9702,3418,6284,9984,3580,6404,10476,3865,6611
"광주광역시","70~74",8274,2297,5977,8796,2440,6356,9497,2685,6812
"광주광역시","75~79",8412,1743,6669,8701,1835,6866,8809,1847,6962
"광주광역시","80~84",5452,927,4525,5908,1064,4844,6273,1140,5133
"광주광역시","85세 이상",3165,524,2641,3393,555,2838,3852,683,3169
"대전광역시","합계",188136,96469,91667,195544,99760,95784,205165,104803,100362
"대전광역시","20세 미만",5035,2536,2499,4829,2539,2290,4913,2456,2457
"대전광역시","20~24",26512,12859,13653,27282,13000,14282,27957,13304,14653
"대전광역시","25~29",24590,15210,9380,26409,16075,10334,28985,17264,11721
"대전광역시","30~34",18042,11522,6520,18323,11722,6601,19615,12786,6829
